,world_rank,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,University size in terms of students
1803,1.0,95.6,64.0,97.6,99.8,97.8,95.2,2243.0,6.9,27.0,0.4925373134328358,2016,small
1804,2.0,86.5,94.4,98.9,98.8,73.1,94.2,19919.0,11.6,34.0,0.8518518518518519,2016,middle
1805,3.0,92.5,76.3,96.2,99.9,63.3,93.9,15596.0,7.8,22.0,0.7241379310344828,2016,middle
1806,4.0,88.2,91.5,96.7,97.0,55.0,92.8,18812.0,11.8,34.0,0.8518518518518519,2016,middle
1807,5.0,89.4,84.0,88.6,99.7,95.4,92.0,11074.0,9.0,33.0,0.5873015873015873,2016,middle
1808,6.0,83.6,77.2,99.0,99.8,45.2,91.6,20152.0,8.9,25.0,0.0,2016,middle
1809,7.0,85.1,78.5,91.9,99.3,52.1,90.1,7929.0,8.4,27.0,0.8181818181818182,2016,small
1810,8.0,83.3,96.0,88.5,96.7,53.7,89.1,15060.0,11.7,51.0,0.5873015873015873,2016,middle
1811,9.0,77.0,97.9,95.0,91.1,80.0,88.3,18178.0,14.7,37.0,0.4492753623188406,2016,middle
1812,10.0,85.7,65.0,88.9,99.2,36.6,87.9,14221.0,6.9,21.0,0.7241379310344828,2016,middle
1813,11.0,77.6,70.0,90.4,98.2,100.0,87.6,15128.0,3.6,23.0,1.0,2016,middle
1814,12.0,86.5,64.3,87.8,97.2,43.3,87.4,11751.0,4.4,20.0,1.0,2016,middle
1815,13.0,80.4,61.9,91.1,99.7,47.9,87.2,36186.0,16.4,15.0,1.0,2016,large
1816,14.0,78.1,94.4,91.0,94.2,40.5,87.1,26607.0,10.7,46.0,1.2727272727272727,2016,middle
1817,15.0,85.9,73.5,82.2,98.1,0.0,86.1,25055.0,5.9,28.0,0.0,2016,middle
1818,16.0,80.8,56.4,88.6,98.5,47.9,85.8,38206.0,10.3,15.0,1.0833333333333333,2016,large
1819,17.0,82.0,49.5,86.9,98.6,47.9,85.2,20376.0,6.5,20.0,1.0408163265306123,2016,middle
1820,18.0,77.9,63.9,86.1,97.2,33.7,84.0,21424.0,10.2,19.0,0.9230769230769231,2016,middle
1821,19.0,75.9,77.8,89.3,90.9,49.1,83.9,66198.0,19.5,15.0,0.0,2016,large
1822,20.0,76.0,56.5,78.0,99.0,100.0,82.7,15172.0,4.8,17.0,0.9607843137254902,2016,middle
1823,21.0,76.8,53.7,85.2,94.4,56.3,82.4,41786.0,9.0,16.0,0.9230769230769231,2016,large
1824,22.0,67.4,57.1,88.8,99.1,57.5,82.3,11885.0,13.1,35.0,0.639344262295082,2016,middle
1825,23.0,69.8,93.6,80.6,94.3,32.2,81.3,,,,0.0,2016,
1826,24.0,68.6,89.8,77.2,96.3,36.1,80.3,25774.0,14.1,36.0,1.380952380952381,2016,middle
1827,25.0,69.8,53.9,78.4,96.5,81.2,79.5,18334.0,13.8,15.0,0.9230769230769231,2016,middle
1828,26.0,71.7,96.2,84.5,79.4,49.8,79.2,31592.0,15.5,34.0,0.9607843137254902,2016,large
1829,27.0,64.5,93.8,75.8,93.8,40.1,78.2,21394.0,11.4,37.0,1.564102564102564,2016,middle
1830,28.0,60.6,73.1,81.1,92.2,75.8,77.5,7774.0,11.5,22.0,2.3333333333333335,2016,small
1831,29.0,70.5,62.8,77.4,85.7,100.0,77.3,35691.0,15.5,13.0,1.631578947368421,2016,large
1832,30.0,74.7,49.3,72.3,95.3,30.4,77.2,42056.0,6.8,19.0,1.2222222222222223,2016,large
1833,31.0,61.3,98.6,67.5,94.6,65.4,76.1,9666.0,10.5,54.0,0.3698630136986301,2016,small
1834,32.0,67.1,51.2,70.0,98.6,43.1,75.6,44020.0,11.8,13.0,1.127659574468085,2016,large
1835,33.0,62.0,87.1,75.5,86.6,64.6,75.4,40128.0,23.7,35.0,1.2222222222222223,2016,large
1836,34.0,60.2,90.5,73.2,91.5,42.6,75.3,50152.0,17.6,25.0,1.173913043478261,2016,large
1837,35.0,59.9,68.6,76.9,87.3,100.0,74.8,42503.0,41.9,18.0,1.173913043478261,2016,large
1838,36.0,64.5,45.8,81.2,86.8,52.8,74.5,42727.0,18.7,20.0,0.8867924528301887,2016,large
1839,37.0,68.8,62.8,69.6,88.2,68.2,74.4,28881.0,24.5,17.0,1.2222222222222223,2016,middle
1840,38.0,66.1,85.5,72.1,78.9,40.3,72.6,31326.0,13.7,23.0,1.2727272727272727,2016,large
1841,39.0,56.9,42.9,69.8,98.7,56.7,72.2,27233.0,6.5,11.0,0.9230769230769231,2016,middle
1842,39.0,52.6,61.5,66.0,99.2,90.4,72.2,22020.0,27.3,11.0,1.0833333333333333,2016,middle
1843,41.0,57.8,71.5,72.7,86.0,73.7,72.1,19967.0,20.1,26.0,0.4492753623188406,2016,middle
1844,42.0,77.8,49.2,72.4,69.1,100.0,72.0,40148.0,8.3,14.0,0.0,2016,large
1845,43.0,81.4,30.3,83.0,60.9,50.8,71.1,26199.0,5.7,10.0,0.0,2016,middle
1846,44.0,60.1,58.4,72.7,84.3,57.3,71.0,35364.0,13.9,13.0,1.173913043478261,2016,large
1847,44.0,64.6,99.5,72.8,70.1,53.7,71.0,19835.0,17.6,38.0,1.127659574468085,2016,middle
1848,46.0,59.3,31.7,69.7,92.2,63.1,70.3,49427.0,17.4,9.0,1.0408163265306123,2016,large
1849,47.0,73.3,39.5,83.0,58.8,100.0,70.0,39763.0,13.7,10.0,0.47058823529411764,2016,large
1850,47.0,52.6,70.3,66.9,87.8,100.0,70.0,9248.0,17.0,21.0,1.2727272727272727,2016,small
1851,49.0,63.7,62.6,77.0,73.6,36.1,69.9,29987.0,52.5,16.0,0.0,2016,middle
1852,50.0,65.1,33.0,68.2,86.6,48.5,69.7,39655.0,10.8,11.0,1.0408163265306123,2016,large
1853,51.0,62.8,57.8,55.7,96.4,31.4,69.6,8653.0,10.1,19.0,0.0,2016,small
1854,52.0,54.7,93.3,77.3,72.3,48.0,69.5,14604.0,19.2,35.0,1.0833333333333333,2016,middle
1855,53.0,61.0,63.8,66.0,80.1,99.2,69.4,35565.0,31.5,20.0,0.4925373134328358,2016,large
1856,54.0,70.6,85.5,47.7,87.1,37.1,69.0,2400.0,7.9,20.0,0.8518518518518519,2016,small
1857,55.0,48.4,94.6,61.3,85.6,99.9,68.2,25028.0,16.2,33.0,0.9230769230769231,2016,middle
1858,56.0,58.4,87.0,66.0,77.3,42.0,68.1,34938.0,15.3,34.0,1.0833333333333333,2016,large
1859,56.0,54.3,84.4,68.1,77.5,72.4,68.1,41868.0,20.2,28.0,1.3255813953488371,2016,large
1860,58.0,52.2,66.5,64.7,87.4,62.8,67.8,24570.0,14.4,11.0,1.127659574468085,2016,middle
1861,59.0,49.4,80.5,66.1,82.6,68.1,67.2,11385.0,23.8,36.0,0.0,2016,middle
1862,60.0,49.2,89.3,62.8,82.4,76.7,67.0,34718.0,32.7,27.0,1.127659574468085,2016,large
1863,60.0,54.3,44.9,55.6,99.2,33.5,67.0,12528.0,5.7,17.0,0.0,2016,middle
1864,62.0,48.1,55.8,64.3,88.1,89.1,66.6,30779.0,15.4,7.0,1.4390243902439024,2016,large
1865,63.0,58.0,39.0,54.5,95.9,39.4,66.4,26518.0,7.3,8.0,1.380952380952381,2016,middle
1866,64.0,57.8,51.0,49.5,97.7,30.3,66.1,24789.0,8.6,17.0,1.380952380952381,2016,middle
1867,65.0,55.0,84.0,73.8,61.5,100.0,65.9,15920.0,19.4,25.0,0.35135135135135137,2016,middle
1868,65.0,53.5,35.3,61.0,88.0,98.5,65.9,46825.0,18.0,13.0,1.0833333333333333,2016,large
1869,67.0,50.5,64.3,63.1,85.2,49.8,65.7,21222.0,17.1,10.0,1.4390243902439024,2016,middle
1870,68.0,49.3,56.3,58.9,93.0,38.0,65.5,36534.0,12.9,20.0,1.0833333333333333,2016,large
1871,69.0,47.6,82.4,51.6,91.2,40.0,64.3,17906.0,14.0,25.0,1.127659574468085,2016,middle
1872,70.0,47.9,86.4,51.9,87.7,34.4,63.6,15489.0,15.7,24.0,1.173913043478261,2016,middle
1873,71.0,37.2,76.1,55.2,95.6,54.6,63.5,20580.0,18.9,18.0,0.9230769230769231,2016,middle
1874,72.0,57.9,69.2,72.2,60.2,35.1,63.2,33062.0,39.3,20.0,1.380952380952381,2016,large
1875,73.0,48.1,87.6,58.5,73.3,79.7,62.5,50882.0,40.5,36.0,1.2727272727272727,2016,large
1876,74.0,43.3,63.9,56.9,84.0,92.4,62.4,24556.0,25.6,12.0,1.0833333333333333,2016,middle
1877,75.0,50.4,40.8,61.9,80.5,56.2,62.3,44501.0,12.4,12.0,0.8518518518518519,2016,large
1878,76.0,41.6,85.8,48.3,92.3,31.6,61.9,22616.0,16.0,29.0,1.3255813953488371,2016,middle
1879,76.0,48.4,51.8,60.4,82.1,31.6,61.9,23505.0,15.1,6.0,1.9411764705882353,2016,middle
1880,78.0,47.0,58.2,59.8,79.3,59.2,61.7,28327.0,38.9,12.0,1.380952380952381,2016,middle
1881,79.0,50.6,33.9,50.3,92.3,39.3,61.5,26485.0,5.8,10.0,1.0408163265306123,2016,middle
1882,80.0,47.4,90.3,53.1,78.2,37.7,61.3,18529.0,16.6,37.0,0.9230769230769231,2016,middle
1883,81.0,44.1,59.6,61.0,80.9,39.5,61.2,25266.0,18.2,12.0,1.3255813953488371,2016,middle
1884,82.0,49.8,83.3,42.7,86.2,45.0,61.0,27545.0,4.1,19.0,2.0303030303030303,2016,middle
1885,82.0,40.7,89.5,53.9,82.1,50.0,61.0,38309.0,25.9,33.0,0.8867924528301887,2016,large
1886,84.0,47.4,60.3,51.1,80.5,100.0,60.7,26467.0,31.2,16.0,1.0833333333333333,2016,middle
